"No","파일명","대분류","화면명","GNB (머리글 영역)","SNB (사이드 메뉴)","Contents 주요 구성 요소","화면 설명 및 주요 기능","FNB (푸터)"
"1","01_홈_소개.jpg","홈","홈 (소개)","공통 (로고, 상단 링크)","공통 (전체 메뉴 탭)","[타이틀 영역] -> [소개 및 가이드 위젯]","시스템 목적 및 원가계산 전체 절차(Step 1~7) 시각적 안내, 대시보드 역할","공통"
"2","02_기초코드_부서직종.jpg","기초정보","기초코드 (부서/직종)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [데이터 테이블 영역]","병원 내 부서 및 직종 정보를 관리하고 원가계산의 기초를 설정하는 화면","공통"
"3","02_기초코드_표준.jpg","기초정보","기초코드 (표준 활동)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [데이터 테이블 영역]","비용 배분의 기준이 될 병원 내 표준 활동 코드를 설정하는 화면","공통"
"4","03_사원소속.jpg","기초정보","사원소속","공통","공통","[타이틀 영역] -> [필터 영역] -> [데이터 테이블 영역] -> [제어 버튼]","사원별 소속 부서, 직급 및 기본 인건비 데이터를 입력/관리하는 화면","공통"
"5","04_수익_요약.jpg","원천데이터","수익 (요약)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [요약 카드 및 차트 영역]","입력된 진료과별/의사별 전체 수익 규모와 요약 정보를 차트와 카드로 확인","공통"
"6","04_수익_입력.jpg","원천데이터","수익 (입력)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [필터 영역] -> [데이터 테이블 영역]","각 부서/의사별로 발생한 세부 수익 데이터를 상세히 입력하고 수정하는 화면","공통"
"7","05_비용_요약.jpg","원천데이터","비용 (요약)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [요약 카드 및 차트 영역]","병원 운영에 발생한 모든 원천 비용(인건비, 재료비 등)의 총괄 현황을 파악","공통"
"8","05_비용_입력.jpg","원천데이터","비용 (입력)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [필터 영역] -> [데이터 테이블 영역]","세부 계정별, 부서별로 발생한 비용 원본 데이터를 입력하고 관리하는 화면","공통"
"9","06_환자통계_요약.jpg","원천데이터","환자통계 (요약)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [요약 카드 및 차트 영역]","비용 배부 기준(드라이버)으로 사용될 진료과별 환자 통계 데이터를 요약 조회","공통"
"10","06_환자통계_입력.jpg","원천데이터","환자통계 (입력)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [데이터 테이블 영역]","입원/외래 환자 수, 재원일수 등 통계 지표를 수기 입력하거나 업로드하는 화면","공통"
"11","07_원가배부값_결과.jpg","배부로직","원가배부값 (결과)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [필터 영역] -> [데이터 테이블 영역]","정의된 드라이버(배부 기준)에 따라 각 부서에 할당된 비율과 결과값을 조회","공통"
"12","07_원가배부값_요약.jpg","배부로직","원가배부값 (요약)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [요약 카드 및 차트 영역]","인원, 면적 등 주요 드라이버 기준에 따른 배부값 요약 현황 확인","공통"
"13","07_원가배부값_정의.jpg","배부로직","원가배부값 (정의)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [필터 영역] -> [데이터 테이블 영역]","원가를 배분하기 위한 드라이버(비율 기준) 수치를 정의하고 설정하는 화면","공통"
"14","08_계산로직_계정.jpg","배부로직","계산로직 (계정)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [필터 영역] -> [데이터 테이블 영역]","특정 비용 계정을 어느 부서로 어떻게 매핑할지 초기 규칙을 설정","공통"
"15","08_계산로직_비율.jpg","배부로직","계산로직 (비율)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [데이터 테이블 영역]","부서 내 인력이나 자원이 각각의 표준 활동에 얼마의 비율로 투입되는지 정의","공통"
"16","08_계산로직_활동.jpg","배부로직","계산로직 (활동)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [데이터 테이블 영역]","집계된 활동 원가를 최종 진료과 등 원가대상으로 배분하는 상세 룰 설정","공통"
"17","09_실행.jpg","실행","계산 실행","공통","공통","[타이틀 영역] -> [실행 및 제어 버튼 영역]","설정된 데이터를 바탕으로 ABC 원가계산 엔진을 구동하는 컨트롤 타워 화면","공통"
"18","10_결과_배부.jpg","결과","결과 (원가배부)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [필터 영역] -> [데이터 테이블 영역]","비용이 어느 부서에서 누구에게 얼마만큼 흘러갔는지(Tracking) 추적하여 상세 조회","공통"
"19","10_결과_상세.jpg","결과","결과 (상세결과)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [데이터 테이블 영역]","각 원가대상(부서/의사)별 수익, 발생원가, 배부원가, 최종 손익을 상세 표로 확인","공통"
"20","10_결과_요약.jpg","결과","결과 (요약)","공통","공통","[타이틀 영역] -> [본문 탭 메뉴] -> [요약 카드 및 차트 영역]","진료과별 수익, 원가, 이익을 한눈에 비교할 수 있는 시각적 대시보드 화면","공통"
"21","11_마이페이지.jpg","설정","마이페이지","공통","공통","[타이틀 영역] -> [입력 폼 영역]","사용자 정보 확인, 개인 설정 및 권한 등을 관리하는 페이지","공통"
